YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
2015,National,National,,All,9988.67,9485.73
2015,National,National,,<65,10990.25,10424.2
2015,National,National,,>65,9782.58,9292.63
2015,State,AK,2,All,8818.08,6790.94
2015,State,AK,2,<65,11017.84,8570.98
2015,State,AK,2,>65,8412.12,6462.44
2015,State,AL,1,All,8942.93,9808.1
2015,State,AL,1,<65,8941.16,9776.02
2015,State,AL,1,>65,8943.43,9817.04
2015,State,AR,5,All,8537.12,9132.54
2015,State,AR,5,<65,8188.68,8674.73
2015,State,AR,5,>65,8628.41,9252.48
2015,State,AZ,4,All,9078.82,8621.96
2015,State,AZ,4,<65,11050.02,10416.24
2015,State,AZ,4,>65,8853.75,8417.08
2015,State,CA,6,All,11155.99,8998.54
2015,State,CA,6,<65,13176.17,10529.14
2015,State,CA,6,>65,10777.39,8711.7
2015,State,CO,8,All,8475.3,8101.01
2015,State,CO,8,<65,9837.38,9337.61
2015,State,CO,8,>65,8224.97,7873.74
2015,State,CT,9,All,11531.02,9711.18
2015,State,CT,9,<65,12580.74,10665.11
2015,State,CT,9,>65,11352.36,9548.82
2015,State,DC,11,All,11717.4,9929.27
2015,State,DC,11,<65,15715.8,13133.58
2015,State,DC,11,>65,10645,9069.85
2015,State,DE,10,All,10195.72,9436.27
2015,State,DE,10,<65,12117.96,11263.83
2015,State,DE,10,>65,9874.53,9130.9
2015,State,FL,12,All,11065.88,11111.8
2015,State,FL,12,<65,12604.13,12512.17
2015,State,FL,12,>65,10835.12,10901.72
2015,State,GA,13,All,9375.43,9634.33
2015,State,GA,13,<65,11159.69,11446.4
2015,State,GA,13,>65,8955.33,9207.69
2015,State,HI,15,All,7613.8,6298.1
2015,State,HI,15,<65,12007.47,10003.07
2015,State,HI,15,>65,7075.65,5844.31
2015,State,IA,19,All,8353.07,8210.81
2015,State,IA,19,<65,9284.92,9118.63
2015,State,IA,19,>65,8205.55,8067.1
2015,State,ID,16,All,8013.49,7964.72
2015,State,ID,16,<65,8683.41,8752.63
2015,State,ID,16,>65,7879.14,7806.71
2015,State,IL,17,All,10213.51,9771.62
2015,State,IL,17,<65,11760.87,11146.17
2015,State,IL,17,>65,9958.38,9544.98
2015,State,IN,18,All,9693.76,9706.01
2015,State,IN,18,<65,10595.05,10555.09
2015,State,IN,18,>65,9489,9513.11
2015,State,KS,20,All,9103.13,9384.57
2015,State,KS,20,<65,9917.89,10273.77
2015,State,KS,20,>65,8956.61,9224.66
2015,State,KY,21,All,9127.09,9462.09
2015,State,KY,21,<65,8881.04,9139.84
2015,State,KY,21,>65,9211.84,9573.09
2015,State,LA,22,All,10677.75,11283.78
2015,State,LA,22,<65,11548.38,11973.5
2015,State,LA,22,>65,10423.07,11082.02
2015,State,MA,25,All,11214.67,9353.71
2015,State,MA,25,<65,11271.16,9359.32
2015,State,MA,25,>65,11201.24,9352.37
2015,State,MD,24,All,11612.34,9562.27
2015,State,MD,24,<65,15083.92,12054.59
2015,State,MD,24,>65,11031.71,9145.42
2015,State,ME,23,All,8613.44,8230.42
2015,State,ME,23,<65,8405.7,8080.06
2015,State,ME,23,>65,8674.66,8274.73
2015,State,MI,26,All,10453.73,10043.89
2015,State,MI,26,<65,10672.4,10267.89
2015,State,MI,26,>65,10396.69,9985.46
2015,State,MN,27,All,9151.94,8346.08
2015,State,MN,27,<65,9930.22,9059.17
2015,State,MN,27,>65,8874.35,8091.74
2015,State,MO,29,All,9305.16,9479.32
2015,State,MO,29,<65,10401.31,10479.39
2015,State,MO,29,>65,9030.35,9228.6
2015,State,MS,28,All,9901.69,10660.06
2015,State,MS,28,<65,10353.47,10974.36
2015,State,MS,28,>65,9764.93,10564.92
2015,State,MT,30,All,7624.56,7279.31
2015,State,MT,30,<65,8114.22,7771.67
2015,State,MT,30,>65,7543.98,7198.28
2015,State,NC,37,All,9068.69,9074.81
2015,State,NC,37,<65,10372.9,10297.56
2015,State,NC,37,>65,8747.79,8773.96
2015,State,ND,38,All,8350.3,8193.56
2015,State,ND,38,<65,9273.02,9245.66
2015,State,ND,38,>65,8213.16,8037.19
2015,State,NE,31,All,9161.49,8964.06
2015,State,NE,31,<65,10027.9,9880.97
2015,State,NE,31,>65,9034.43,8829.6
2015,State,NH,33,All,8887.56,8030.26
2015,State,NH,33,<65,8915.21,8044.69
2015,State,NH,33,>65,8881.89,8027.3
2015,State,NJ,34,All,11707.1,10121.95
2015,State,NJ,34,<65,12927.82,11147.74
2015,State,NJ,34,>65,11517.84,9962.91
2015,State,NM,35,All,7902.88,7536.46
2015,State,NM,35,<65,8511.96,8066.64
2015,State,NM,35,>65,7763.62,7415.23
2015,State,NV,32,All,10213.43,9292.04
2015,State,NV,32,<65,12815.26,11685.14
2015,State,NV,32,>65,9748.8,8864.68
2015,State,NY,36,All,11489.62,9537.22
2015,State,NY,36,<65,11499.48,9688.03
2015,State,NY,36,>65,11487.51,9504.86
2015,State,OH,39,All,9732.07,9727.97
2015,State,OH,39,<65,10276.44,10189.91
2015,State,OH,39,>65,9602.68,9618.17
2015,State,OK,40,All,9647.33,10130.55
2015,State,OK,40,<65,10482.71,10901.55
2015,State,OK,40,>65,9456.82,9954.71
2015,State,OR,41,All,8085.45,7242.13
2015,State,OR,41,<65,8886.64,7974.38
2015,State,OR,41,>65,7918.69,7089.73
2015,State,PA,42,All,10265.05,9793.05
2015,State,PA,42,<65,10818.99,10128.38
2015,State,PA,42,>65,10146.52,9721.3
2015,State,PR,72,All,5579.12,6830.06
2015,State,PR,72,<65,8988.69,11146.87
2015,State,PR,72,>65,4844.47,5899.93
2015,State,RI,44,All,10359.52,9099.93
2015,State,RI,44,<65,10357.27,8971.39
2015,State,RI,44,>65,10360.18,9137.7
2015,State,SC,45,All,8851.75,9096.38
2015,State,SC,45,<65,10082.15,10321.48
2015,State,SC,45,>65,8608.46,8854.13
2015,State,SD,46,All,8393.51,8087.5
2015,State,SD,46,<65,9913.63,9570.36
2015,State,SD,46,>65,8163.27,7862.9
2015,State,TN,47,All,9098.1,9749.06
2015,State,TN,47,<65,9961.37,10615.99
2015,State,TN,47,>65,8902.52,9552.65
2015,State,TX,48,All,10985.27,11108.95
2015,State,TX,48,<65,13449.67,13494.82
2015,State,TX,48,>65,10531.88,10670
2015,State,UT,49,All,8598,8575.75
2015,State,UT,49,<65,9257.51,9374.31
2015,State,UT,49,>65,8493,8448.6
2015,State,VA,51,All,8759.44,8678.68
2015,State,VA,51,<65,10406.89,10377.13
2015,State,VA,51,>65,8504.72,8416.08
2015,State,VI,78,All,5017.97,4870.73
2015,State,VI,78,<65,7019.19,6399.59
2015,State,VI,78,>65,4817.59,4717.66
2015,State,VT,50,All,8435.84,7411.42
2015,State,VT,50,<65,8548.75,7533.78
2015,State,VT,50,>65,8411.86,7385.43
2015,State,WA,53,All,8471.18,7641.78
2015,State,WA,53,<65,8830.63,8009.22
2015,State,WA,53,>65,8403.63,7572.73
2015,State,WI,55,All,8603.33,8260.07
2015,State,WI,55,<65,9214.17,8911.09
2015,State,WI,55,>65,8467.45,8115.26
2015,State,WV,54,All,8748.78,8943.9
2015,State,WV,54,<65,8328.81,8482.2
2015,State,WV,54,>65,8886.27,9095.06
2015,State,WY,56,All,8420.43,7584.34
2015,State,WY,56,<65,9514.35,8711.17
2015,State,WY,56,>65,8255.58,7414.54
2016,National,National,,All,10101.86,9564.56
2016,National,National,,<65,11278.06,10692.75
2016,National,National,,>65,9869.46,9341.64
2016,State,AK,2,All,9255.28,6886.04
2016,State,AK,2,<65,12173.37,9133.87
2016,State,AK,2,>65,8743.6,6491.89
2016,State,AL,1,All,9047.82,9923.48
2016,State,AL,1,<65,9119.61,10024.22
2016,State,AL,1,>65,9028.45,9896.29
2016,State,AR,5,All,8693.43,9335.65
2016,State,AR,5,<65,8469.41,9061.06
2016,State,AR,5,>65,8750.53,9405.64
2016,State,AZ,4,All,9222.18,8721.9
2016,State,AZ,4,<65,11399.3,10730.57
2016,State,AZ,4,>65,8988.46,8506.27
2016,State,CA,6,All,11517.22,9197.41
2016,State,CA,6,<65,13725.29,10849.84
2016,State,CA,6,>65,11113.39,8895.21
2016,State,CO,8,All,8593.44,8198.4
2016,State,CO,8,<65,10151.08,9627.51
2016,State,CO,8,>65,8320.52,7948
2016,State,CT,9,All,11641.71,9755.03
2016,State,CT,9,<65,13014.77,10993.2
2016,State,CT,9,>65,11413.74,9549.45
2016,State,DC,11,All,11878.2,10099.53
2016,State,DC,11,<65,16012.72,13382.88
2016,State,DC,11,>65,10819.6,9258.87
2016,State,DE,10,All,10306.13,9470.18
2016,State,DE,10,<65,12605.03,11636.69
2016,State,DE,10,>65,9933.15,9118.68
2016,State,FL,12,All,11046.98,11075.48
2016,State,FL,12,<65,12726.58,12679.44
2016,State,FL,12,>65,10807.94,10847.21
2016,State,GA,13,All,9430.26,9675.02
2016,State,GA,13,<65,11283.6,11582.84
2016,State,GA,13,>65,9011.73,9244.2
2016,State,HI,15,All,7765.65,6466.33
2016,State,HI,15,<65,13080.41,10957.81
2016,State,HI,15,>65,7147.89,5944.27
2016,State,IA,19,All,8333.14,8220.34
2016,State,IA,19,<65,9429.07,9318.22
2016,State,IA,19,>65,8159.12,8046.01
2016,State,ID,16,All,8082.01,8041.32
2016,State,ID,16,<65,8770.9,8860.87
2016,State,ID,16,>65,7949.9,7884.15
2016,State,IL,17,All,10408.12,9928.76
2016,State,IL,17,<65,12206.46,11606.11
2016,State,IL,17,>65,10111.4,9652
2016,State,IN,18,All,9698.93,9723.18
2016,State,IN,18,<65,10630.76,10660.77
2016,State,IN,18,>65,9492.3,9515.27
2016,State,KS,20,All,9157.54,9473.69
2016,State,KS,20,<65,10104.6,10538.9
2016,State,KS,20,>65,8993.13,9288.76
2016,State,KY,21,All,9199.04,9505.25
2016,State,KY,21,<65,8867.41,9095.05
2016,State,KY,21,>65,9307.96,9639.98
2016,State,LA,22,All,10771.9,11429.69
2016,State,LA,22,<65,11822,12362.14
2016,State,LA,22,>65,10480.64,11171.07
2016,State,MA,25,All,11305.97,9433.04
2016,State,MA,25,<65,11642.11,9678.45
2016,State,MA,25,>65,11225.68,9374.42
2016,State,MD,24,All,11570.35,9588.78
2016,State,MD,24,<65,15067.94,12176.65
2016,State,MD,24,>65,10999.79,9166.62
2016,State,ME,23,All,8760.22,8412.28
2016,State,ME,23,<65,8664.32,8428.96
2016,State,ME,23,>65,8788.01,8407.45
2016,State,MI,26,All,10474.35,10029.53
2016,State,MI,26,<65,10873.84,10466.12
2016,State,MI,26,>65,10372.51,9918.23
2016,State,MN,27,All,9283.6,8480.75
2016,State,MN,27,<65,10268.61,9380.67
2016,State,MN,27,>65,8928.61,8156.43
2016,State,MO,29,All,9351.57,9558.1
2016,State,MO,29,<65,10636.25,10797.2
2016,State,MO,29,>65,9041.1,9258.65
2016,State,MS,28,All,9940.55,10743.28
2016,State,MS,28,<65,10631.57,11349.2
2016,State,MS,28,>65,9740.24,10567.64
2016,State,MT,30,All,7799.74,7425.85
2016,State,MT,30,<65,8385.08,8032.46
2016,State,MT,30,>65,7706.7,7329.44
2016,State,NC,37,All,9128.67,9097.23
2016,State,NC,37,<65,10457.11,10372.85
2016,State,NC,37,>65,8816.47,8797.45
2016,State,ND,38,All,8558.93,8349.64
2016,State,ND,38,<65,9499.88,9415.6
2016,State,ND,38,>65,8419.9,8192.14
2016,State,NE,31,All,9157.54,9057.3
2016,State,NE,31,<65,10180.72,10223.81
2016,State,NE,31,>65,9013.58,8893.17
2016,State,NH,33,All,9013.25,8194.68
2016,State,NH,33,<65,9285.16,8466.65
2016,State,NH,33,>65,8958.85,8140.28
2016,State,NJ,34,All,11907.03,10226.36
2016,State,NJ,34,<65,13439.21,11499.25
2016,State,NJ,34,>65,11677.64,10035.79
2016,State,NM,35,All,8055.61,7741.8
2016,State,NM,35,<65,9032.13,8668.96
2016,State,NM,35,>65,7845.17,7541.99
2016,State,NV,32,All,10370.35,9394.66
2016,State,NV,32,<65,13066.95,11853.98
2016,State,NV,32,>65,9907.34,8972.39
2016,State,NY,36,All,11794.15,9702
2016,State,NY,36,<65,12030.03,10072.11
2016,State,NY,36,>65,11745.93,9626.33
2016,State,OH,39,All,9810.02,9769.13
2016,State,OH,39,<65,10623.77,10548.62
2016,State,OH,39,>65,9640.82,9607.05
2016,State,OK,40,All,9792.7,10310.1
2016,State,OK,40,<65,10490.76,10978.65
2016,State,OK,40,>65,9638.56,10162.48
2016,State,OR,41,All,8231.8,7308.1
2016,State,OR,41,<65,9207.19,8193.3
2016,State,OR,41,>65,8036.1,7130.49
2016,State,PA,42,All,10250.09,9743.99
2016,State,PA,42,<65,11046.32,10331.32
2016,State,PA,42,>65,10087.4,9623.99
2016,State,PR,72,All,5640.4,6867.83
2016,State,PR,72,<65,9153.32,11453.27
2016,State,PR,72,>65,4919.42,5926.73
2016,State,RI,44,All,10195.02,8928.75
2016,State,RI,44,<65,10083.8,8711.87
2016,State,RI,44,>65,10223.06,8983.44
2016,State,SC,45,All,8802.02,9044.5
2016,State,SC,45,<65,10162.07,10467.07
2016,State,SC,45,>65,8543.49,8774.07
2016,State,SD,46,All,8512.56,8180.81
2016,State,SD,46,<65,10543.86,10090.92
2016,State,SD,46,>65,8206.91,7893.39
2016,State,TN,47,All,9146.29,9773.07
2016,State,TN,47,<65,10109.86,10806.27
2016,State,TN,47,>65,8942.27,9554.31
2016,State,TX,48,All,11111.51,11246.82
2016,State,TX,48,<65,13853.64,13945.36
2016,State,TX,48,>65,10629.86,10772.83
2016,State,UT,49,All,8683.97,8610.53
2016,State,UT,49,<65,9662.58,9767.09
2016,State,UT,49,>65,8535.93,8435.58
2016,State,VA,51,All,8902.93,8786.73
2016,State,VA,51,<65,10708.89,10660.06
2016,State,VA,51,>65,8637.11,8511
2016,State,VI,78,All,5238.38,4749.45
2016,State,VI,78,<65,6642.29,6095.6
2016,State,VI,78,>65,5105.15,4621.7
2016,State,VT,50,All,8559.94,7563.9
2016,State,VT,50,<65,8788.65,7834.12
2016,State,VT,50,>65,8512.81,7508.22
2016,State,WA,53,All,8624.7,7704.9
2016,State,WA,53,<65,9006.86,8107.99
2016,State,WA,53,>65,8555.79,7632.21
2016,State,WI,55,All,8581.21,8271.61
2016,State,WI,55,<65,9508.79,9274.78
2016,State,WI,55,>65,8381.51,8055.64
2016,State,WV,54,All,8914.53,9107.44
2016,State,WV,54,<65,8723.58,8917.93
2016,State,WV,54,>65,8974.62,9167.09
2016,State,WY,56,All,8576.57,7718.6
2016,State,WY,56,<65,10100.82,9231.93
2016,State,WY,56,>65,8355.23,7498.84
2017,National,National,,All,10329.82,9754.22
2017,National,National,,<65,11572.07,10947.79
2017,National,National,,>65,10095.21,9528.81
2017,State,AK,2,All,9575.77,7100.65
2017,State,AK,2,<65,12860.54,9625.74
2017,State,AK,2,>65,9030.76,6681.7
2017,State,AL,1,All,9447.71,10381.61
2017,State,AL,1,<65,9257.11,10165.82
2017,State,AL,1,>65,9503.52,10444.8
2017,State,AR,5,All,8986.21,9693.37
2017,State,AR,5,<65,8714.26,9328.35
2017,State,AR,5,>65,9052.31,9782.1
2017,State,AZ,4,All,9533.12,8919.69
2017,State,AZ,4,<65,11616.16,10817.02
2017,State,AZ,4,>65,9323.95,8729.17
2017,State,CA,6,All,11856.87,9449.91
2017,State,CA,6,<65,14298.18,11299.89
2017,State,CA,6,>65,11431.23,9127.38
2017,State,CO,8,All,8896.34,8412.92
2017,State,CO,8,<65,10600.6,10010.35
2017,State,CO,8,>65,8616.23,8150.37
2017,State,CT,9,All,11895.88,9972.95
2017,State,CT,9,<65,13344.59,11307.91
2017,State,CT,9,>65,11662.45,9757.85
2017,State,DC,11,All,12120.27,10329.1
2017,State,DC,11,<65,16756.21,14018.13
2017,State,DC,11,>65,11014.26,9449
2017,State,DE,10,All,10398.09,9494.69
2017,State,DE,10,<65,12507.41,11504.95
2017,State,DE,10,>65,10080.47,9192
2017,State,FL,12,All,11162.76,11185.08
2017,State,FL,12,<65,12984.52,12911.38
2017,State,FL,12,>65,10918.07,10953.21
2017,State,GA,13,All,9689.64,9910
2017,State,GA,13,<65,11642.06,11946.71
2017,State,GA,13,>65,9267.24,9469.36
2017,State,HI,15,All,8002.87,6684.84
2017,State,HI,15,<65,13204.19,11205.95
2017,State,HI,15,>65,7430.55,6187.37
2017,State,IA,19,All,8618.98,8500.86
2017,State,IA,19,<65,9707.98,9637.37
2017,State,IA,19,>65,8452.72,8327.34
2017,State,ID,16,All,8202.27,8151.37
2017,State,ID,16,<65,8867.07,8923.35
2017,State,ID,16,>65,8080.33,8009.78
2017,State,IL,17,All,10647.42,10123.64
2017,State,IL,17,<65,12459.24,11821.83
2017,State,IL,17,>65,10355.93,9850.44
2017,State,IN,18,All,9863.8,9834.66
2017,State,IN,18,<65,10902.79,10824.63
2017,State,IN,18,>65,9643.09,9624.37
2017,State,KS,20,All,9474.95,9775.9
2017,State,KS,20,<65,10424.31,10826.29
2017,State,KS,20,>65,9319.31,9603.7
2017,State,KY,21,All,9538.14,9800.09
2017,State,KY,21,<65,9324.44,9526.53
2017,State,KY,21,>65,9604.69,9885.28
2017,State,LA,22,All,10908.45,11516.72
2017,State,LA,22,<65,12052.43,12571.43
2017,State,LA,22,>65,10606.5,11238.33
2017,State,MA,25,All,11460.6,9602.59
2017,State,MA,25,<65,11735.25,9825.74
2017,State,MA,25,>65,11398.28,9551.96
2017,State,MD,24,All,11957.23,9851.57
2017,State,MD,24,<65,15554.26,12558.41
2017,State,MD,24,>65,11383.41,9419.77
2017,State,ME,23,All,9005.6,8605.5
2017,State,ME,23,<65,8934.56,8670.81
2017,State,ME,23,>65,9025.78,8586.94
2017,State,MI,26,All,10564.28,10100.44
2017,State,MI,26,<65,10946.56,10531.24
2017,State,MI,26,>65,10469.9,9994.09
2017,State,MN,27,All,9581.05,8714.54
2017,State,MN,27,<65,10580.78,9624.2
2017,State,MN,27,>65,9225.99,8391.46
2017,State,MO,29,All,9607.3,9823.93
2017,State,MO,29,<65,10960.06,11143.09
2017,State,MO,29,>65,9293.76,9518.18
2017,State,MS,28,All,10171.69,10982.96
2017,State,MS,28,<65,10912.62,11652.38
2017,State,MS,28,>65,9966.49,10797.56
2017,State,MT,30,All,8066.31,7651.44
2017,State,MT,30,<65,8697.67,8314.83
2017,State,MT,30,>65,7970.38,7550.64
2017,State,NC,37,All,9326.47,9289.34
2017,State,NC,37,<65,10711.26,10614.26
2017,State,NC,37,>65,9015.27,8991.6
2017,State,ND,38,All,8957.58,8668.38
2017,State,ND,38,<65,10007.28,9944.72
2017,State,ND,38,>65,8810.6,8489.66
2017,State,NE,31,All,9445.72,9257.41
2017,State,NE,31,<65,10487.52,10416.21
2017,State,NE,31,>65,9306.76,9102.84
2017,State,NH,33,All,9295.37,8379.57
2017,State,NH,33,<65,9450.29,8516.95
2017,State,NH,33,>65,9265.34,8352.95
2017,State,NJ,34,All,12160.18,10411.7
2017,State,NJ,34,<65,13677.28,11713.38
2017,State,NJ,34,>65,11942.31,10224.77
2017,State,NM,35,All,8235.37,7922.76
2017,State,NM,35,<65,9411.76,9025.68
2017,State,NM,35,>65,7998.25,7700.45
2017,State,NV,32,All,10650.42,9642.36
2017,State,NV,32,<65,13701.67,12372.28
2017,State,NV,32,>65,10145.43,9190.55
2017,State,NY,36,All,12144.36,10019.95
2017,State,NY,36,<65,12440.35,10429.1
2017,State,NY,36,>65,12085.95,9939.21
2017,State,OH,39,All,10037.71,10012.17
2017,State,OH,39,<65,10891.15,10841.98
2017,State,OH,39,>65,9870.79,9849.87
2017,State,OK,40,All,10224.89,10654.97
2017,State,OK,40,<65,11028.82,11415.97
2017,State,OK,40,>65,10053.01,10492.28
2017,State,OR,41,All,8438.73,7497.15
2017,State,OR,41,<65,9458.37,8467.31
2017,State,OR,41,>65,8241.41,7309.41
2017,State,PA,42,All,10436.67,9879.84
2017,State,PA,42,<65,11351.02,10558.21
2017,State,PA,42,>65,10257.8,9747.12
2017,State,PR,72,All,5543.91,6518.4
2017,State,PR,72,<65,9510.15,11682.79
2017,State,PR,72,>65,4791.71,5538.97
2017,State,RI,44,All,10301.47,9095.09
2017,State,RI,44,<65,10049.2,8870.27
2017,State,RI,44,>65,10348.76,9137.25
2017,State,SC,45,All,9064.2,9281.46
2017,State,SC,45,<65,10619.39,10922
2017,State,SC,45,>65,8786.63,8988.65
2017,State,SD,46,All,8733.58,8395.74
2017,State,SD,46,<65,10878.24,10398.06
2017,State,SD,46,>65,8424.53,8107.2
2017,State,TN,47,All,9386.52,9982.38
2017,State,TN,47,<65,10537.92,11198.9
2017,State,TN,47,>65,9160.44,9743.52
2017,State,TX,48,All,11183.77,11279.89
2017,State,TX,48,<65,13912.29,13963.7
2017,State,TX,48,>65,10732.32,10835.83
2017,State,UT,49,All,8919.12,8800.56
2017,State,UT,49,<65,9729.11,9805.05
2017,State,UT,49,>65,8802.55,8656
2017,State,VA,51,All,9118.2,8994.68
2017,State,VA,51,<65,10828.87,10761.81
2017,State,VA,51,>65,8872.6,8740.97
2017,State,VI,78,All,5199.59,4702.79
2017,State,VI,78,<65,6648.05,6144.36
2017,State,VI,78,>65,5072.16,4575.96
2017,State,VT,50,All,8724.11,7664.05
2017,State,VT,50,<65,9062.27,7993.61
2017,State,VT,50,>65,8656.24,7597.9
2017,State,WA,53,All,8778.78,7883.2
2017,State,WA,53,<65,9316.62,8463.92
2017,State,WA,53,>65,8686.76,7783.85
2017,State,WI,55,All,8758.9,8406.48
2017,State,WI,55,<65,9652.85,9378.43
2017,State,WI,55,>65,8575.38,8206.95
2017,State,WV,54,All,9218.21,9406.56
2017,State,WV,54,<65,8921.62,9145.19
2017,State,WV,54,>65,9308.23,9485.9
2017,State,WY,56,All,8726.81,7829.16
2017,State,WY,56,<65,10200.33,9436.32
2017,State,WY,56,>65,8520.44,7604.07
2018,National,National,,All,10700.85,10113.47
